quarter,date,output_gap_percent,real_gdp_billions_chained_2017,potential_gdp_billions_chained_2017,cpi_level,inflation_percent
1990Q1,1990-01-01,1.638,10047.386,9885.457,128.03333333333333,5.232876712328771
1990Q2,1990-04-01,1.309,10083.855,9953.52,129.29999999999998,4.583445672688047
1990Q3,1990-07-01,0.698,10090.569,10020.582,131.53333333333333,5.5644729802033055
1990Q4,1990-10-01,-0.872,9998.704,10086.677,133.76666666666665,6.276483050847448
1991Q1,1991-01-01,-1.973,9951.916,10152.177,134.76666666666668,5.259047123145022
1991Q2,1991-04-01,-1.834,10029.51,10216.906,135.56666666666666,4.84660995101831
1991Q3,1991-07-01,-1.959,10080.195,10281.57,136.6,3.8520020273694833
1991Q4,1991-10-01,-2.243,10115.329,10347.377,137.73333333333332,2.9653625716421717
1992Q1,1992-01-01,-1.707,10236.435,10414.244,138.66666666666666,2.893890675241151
1992Q2,1992-04-01,-1.286,10347.429,10482.223,139.73333333333332,3.0735185640521134
1992Q3,1992-07-01,-0.968,10449.673,10551.785,140.79999999999998,3.0746705710102518
1992Q4,1992-10-01,-0.602,10558.648,10622.618,142.03333333333333,3.1219748305905126
1993Q1,1993-01-01,-1.115,10576.275,10695.542,143.0666666666667,3.173076923076956
1993Q2,1993-04-01,-1.223,10637.847,10769.571,144.1,3.125
1993Q3,1993-07-01,-1.439,10688.606,10844.633,144.76666666666668,2.817234848484862
1993Q4,1993-10-01,-0.797,10833.987,10921.031,145.96666666666667,2.7693029805210045
1994Q1,1994-01-01,-0.542,10939.116,10998.749,146.70000000000002,2.5396085740913232
1994Q2,1994-04-01,0.094,11087.361,11076.949,147.53333333333333,2.38260467268101
1994Q3,1994-07-01,-0.038,11152.176,11156.409,148.9,2.855169237854005
1994Q4,1994-10-01,0.381,11279.932,11237.097,149.76666666666668,2.6033340945421424
1995Q1,1995-01-01,0.011,11319.951,11318.731,150.86666666666667,2.8402635764598783
1995Q2,1995-04-01,-0.419,11353.721,11401.545,152.1,3.0953456845910443
1995Q3,1995-07-01,-0.303,11450.31,11485.083,152.86666666666667,2.6639802999776085
1995Q4,1995-10-01,-0.369,11528.067,11570.743,153.70000000000002,2.6263075895837984
1996Q1,1996-01-01,-0.376,11614.418,11658.236,155.06666666666666,2.783915156871397
1996Q2,1996-04-01,0.488,11808.14,11750.807,156.4,2.827087442472065
1996Q3,1996-07-01,0.545,11914.063,11849.534,157.29999999999998,2.900130832969894
1996Q4,1996-10-01,0.7,12037.775,11954.099,158.66666666666666,3.23140316634134
1997Q1,1997-01-01,0.426,12115.472,12064.076,159.63333333333333,2.9449699054170164
1997Q2,1997-04-01,1.14,12317.221,12178.422,160.0,2.3017902813299296
1997Q3,1997-07-01,1.41,12471.01,12297.625,160.79999999999998,2.2250476795931284
1997Q4,1997-10-01,1.263,12577.495,12420.64,161.66666666666666,1.8907563025210017
1998Q1,1998-01-01,1.247,12703.742,12547.224,162.0,1.4825642096471192
1998Q2,1998-04-01,1.135,12821.339,12677.453,162.53333333333333,1.5833333333333366
1998Q3,1998-07-01,1.349,12982.752,12809.973,163.36666666666667,1.5961857379767963
1998Q4,1998-10-01,1.903,13191.67,12945.271,164.13333333333333,1.525773195876301
1999Q1,1999-01-01,1.774,13315.597,13083.465,164.73333333333332,1.6872427983539051
1999Q2,1999-04-01,1.542,13426.748,13222.908,165.96666666666667,2.112387202625099
1999Q3,1999-07-01,1.807,13604.771,13363.358,167.20000000000002,2.346459906141618
1999Q4,1999-10-01,2.388,13827.98,13505.496,168.43333333333334,2.6198212835093493
2000Q1,2000-01-01,1.682,13878.147,13648.585,170.1,3.2577903682719622
2000Q2,2000-04-01,2.482,14130.908,13788.681,171.4333333333333,3.2938341032335616
2000Q3,2000-07-01,1.59,14145.312,13923.902,173.0,3.468899521531088
2000Q4,2000-10-01,1.255,14229.765,14053.434,174.23333333333335,3.4434989115377013
2001Q1,2001-01-01,0.043,14183.12,14177.015,175.9,3.4097589653145244
2001Q2,2001-04-01,-0.151,14271.694,14293.255,177.13333333333333,3.324907641454411
2001Q3,2001-07-01,-1.298,14214.516,14401.429,177.63333333333333,2.678227360308272
2001Q4,2001-10-01,-1.716,14253.574,14502.376,177.5,1.87488042854409
2002Q1,2002-01-01,-1.536,14372.785,14596.982,178.0666666666667,1.231760469964005
2002Q2,2002-04-01,-1.54,14460.848,14687.09,179.46666666666667,1.3172751223184065
2002Q3,2002-07-01,-1.726,14519.633,14774.589,180.4333333333333,1.5762807280915725
2002Q4,2002-10-01,-2.174,14537.58,14860.706,181.5,2.2535211267605604
2003Q1,2003-01-01,-2.228,14614.141,14947.163,183.36666666666667,2.976413328341443
2003Q2,2003-04-01,-1.939,14743.567,15035.055,183.0666666666667,2.0059435364041756
2003Q3,2003-07-01,-0.895,14988.782,15124.159,184.4333333333333,2.216885276186953
2003Q4,2003-10-01,-0.349,15162.76,15215.896,185.13333333333333,2.0018365472910915
2004Q1,2004-01-01,-0.405,15248.68,15310.65,186.70000000000002,1.8178512997636842
2004Q2,2004-04-01,-0.263,15366.85,15407.3,188.16666666666666,2.7858703568827137
2004Q3,2004-07-01,0.04,15512.619,15506.392,189.36666666666667,2.674859931321172
2004Q4,2004-10-01,0.407,15670.88,15607.36,191.4,3.3849477853799215
2005Q1,2005-01-01,0.875,15844.727,15707.319,192.36666666666667,3.035172290662369
2005Q2,2005-04-01,0.744,15922.782,15805.165,193.66666666666666,2.9229406554472925
2005Q3,2005-07-01,0.914,16047.587,15902.192,196.6,3.8197500440063203
2005Q4,2005-10-01,0.868,16136.734,15997.875,198.4333333333333,3.6746778126088397
2006Q1,2006-01-01,1.63,16353.835,16091.603,199.46666666666667,3.690868133772307
2006Q2,2006-04-01,1.316,16396.151,16183.164,201.26666666666665,3.9242685025817625
2006Q3,2006-07-01,0.922,16420.738,16270.761,203.16666666666666,3.3401152933197675
2006Q4,2006-10-01,1.268,16561.866,16354.469,202.33333333333334,1.9653955988577332
2007Q1,2007-01-01,1.053,16611.69,16438.582,204.317,2.4316510695187254
2007Q2,2007-04-01,1.151,16713.314,16523.062,206.631,2.6652865187148045
2007Q3,2007-07-01,1.214,16809.587,16608.026,207.939,2.3489745693191066
